"REF_DATE","GEO","DGUID","National Occupational Classification","Job vacancy characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-07","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","22.75","A","","","2"
"2018-10","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","23.25","A","","","2"
"2019-01","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","24.30","A","","","2"
"2019-04","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","23.50","A","","","2"
"2019-07","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","23.30","A","","","2"
"2019-10","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","23.95","A","","","2"
"2020-01","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","24.75","A","","","2"
"2020-10","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","23.00","A","","","2"
"2021-01","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","24.05","A","","","2"
"2021-04","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","23.10","A","","","2"
"2021-07","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","23.50","A","","","2"
"2021-10","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","24.05","A","","","2"
"2022-01","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","25.00","A","","","2"
"2022-04","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","24.10","A","","","2"
"2022-07","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","24.80","A","","","2"
"2022-10","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","25.35","A","","","2"
"2023-01","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","25.60","A","","","2"
"2023-04","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","25.10","A","","","2"
"2023-07","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","25.35","A","","","2"
"2015-01","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","","..","","","2"
"2015-04","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","19.70","A","","","2"
"2015-07","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","19.10","A","","","2"
"2015-10","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","19.70","A","","","2"
"2016-01","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","19.30","A","","","2"
"2016-04","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","20.80","A","","","2"
"2016-07","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","20.45","A","","","2"
"2016-10","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","20.50","A","","","2"
"2017-01","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","21.50","A","","","2"
"2017-04","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","20.95","A","","","2"
"2017-07","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","20.55","A","","","2"
"2017-10","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","22.05","A","","","2"
"2018-01","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","22.85","A","","","2"
"2018-04","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","22.20","A","","","2"
"2018-07","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","22.40","A","","","2"
"2018-10","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","23.45","A","","","2"
"2019-01","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","23.45","A","","","2"
"2019-04","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","23.30","A","","","2"
"2019-07","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","22.35","A","","","2"
"2019-10","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","24.30","A","","","2"
"2020-01","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","23.95","A","","","2"
"2020-10","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","22.00","A","","","2"
"2021-01","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","22.85","A","","","2"
"2021-04","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","21.90","A","","","2"
"2021-07","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","23.75","A","","","2"
"2021-10","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","23.70","A","","","2"
"2022-01","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","23.70","A","","","2"
"2022-04","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","23.80","A","","","2"
"2022-07","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","24.00","A","","","2"
"2022-10","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","24.95","A","","","2"
"2023-01","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","25.40","A","","","2"
"2023-04","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","24.00","A","","","2"
"2023-07","Alberta","2016A000248","Total, all occupations","Less than 15 days","Average offered hourly wage","Dollars","81","units","0","v105318438","10.1.24.5","24.55","A","","","2"
"2015-01","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","","..","","","2"
"2015-04","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","19.25","A","","","2"
"2015-07","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","19.60","A","","","2"
"2015-10","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","18.85","A","","","2"
"2016-01","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","21.70","A","","","2"
"2016-04","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","19.20","A","","","2"
"2016-07","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","20.20","A","","","2"
"2016-10","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","21.50","A","","","2"
"2017-01","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","22.90","B","","","2"
"2017-04","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","21.00","A","","","2"
"2017-07","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","21.35","A","","","2"
"2017-10","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","21.70","A","","","2"
"2018-01","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","22.50","A","","","2"
"2018-04","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","22.55","A","","","2"
"2018-07","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","22.35","A","","","2"
"2018-10","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","23.50","A","","","2"
"2019-01","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","25.10","A","","","2"
"2019-04","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","23.70","A","","","2"
"2019-07","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","23.30","A","","","2"
"2019-10","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","22.65","A","","","2"
"2020-01","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","24.10","A","","","2"
"2020-10","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","23.45","A","","","2"
"2021-01","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","25.35","A","","","2"
"2021-04","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","22.85","A","","","2"
"2021-07","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","23.35","A","","","2"
"2021-10","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","24.10","A","","","2"
"2022-01","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","24.80","A","","","2"
"2022-04","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","23.85","A","","","2"
"2022-07","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","25.10","A","","","2"
"2022-10","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","25.60","A","","","2"
"2023-01","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","25.20","A","","","2"
"2023-04","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","24.75","A","","","2"
"2023-07","Alberta","2016A000248","Total, all occupations","15 to 29 days","Average offered hourly wage","Dollars","81","units","0","v105318441","10.1.25.5","24.65","A","","","2"
"2015-01","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","","..","","","2"
"2015-04","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","21.30","A","","","2"
"2015-07","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","21.35","A","","","2"
"2015-10","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","19.70","A","","","2"
"2016-01","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","22.95","A","","","2"
"2016-04","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","21.95","A","","","2"
"2016-07","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","23.50","A","","","2"
"2016-10","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","22.65","A","","","2"
"2017-01","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","23.15","A","","","2"
"2017-04","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","23.30","A","","","2"
"2017-07","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","23.95","A","","","2"
"2017-10","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","23.60","A","","","2"
"2018-01","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","23.55","A","","","2"
"2018-04","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","24.40","A","","","2"
"2018-07","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","25.15","A","","","2"
"2018-10","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","24.55","A","","","2"
"2019-01","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","25.40","A","","","2"
"2019-04","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","25.70","A","","","2"
"2019-07","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","25.20","A","","","2"
"2019-10","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","26.75","A","","","2"
"2020-01","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","26.30","A","","","2"
"2020-10","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","23.15","A","","","2"
"2021-01","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","26.40","A","","","2"
"2021-04","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","23.75","A","","","2"
"2021-07","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","23.50","A","","","2"
"2021-10","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","24.65","A","","","2"
"2022-01","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","25.40","A","","","2"
"2022-04","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","24.15","A","","","2"
"2022-07","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","25.05","A","","","2"
"2022-10","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","25.25","A","","","2"
"2023-01","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","25.65","A","","","2"
"2023-04","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","26.25","A","","","2"
"2023-07","Alberta","2016A000248","Total, all occupations","30 to 59 days","Average offered hourly wage","Dollars","81","units","0","v105318444","10.1.26.5","26.55","A","","","2"
"2015-01","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","","..","","","2"
"2015-04","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","23.05","A","","","2"
"2015-07","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","21.25","A","","","2"
"2015-10","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","23.85","A","","","2"
"2016-01","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","22.50","B","","","2"
"2016-04","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","22.90","A","","","2"
"2016-07","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","21.90","A","","","2"
"2016-10","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","22.80","A","","","2"
"2017-01","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","22.25","B","","","2"
"2017-04","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","24.25","A","","","2"
"2017-07","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","27.75","A","","","2"
"2017-10","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","24.80","A","","","2"
"2018-01","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","25.50","A","","","2"
"2018-04","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","23.95","A","","","2"
"2018-07","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","25.90","A","","","2"
"2018-10","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","25.55","A","","","2"
"2019-01","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","28.10","A","","","2"
"2019-04","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","26.60","A","","","2"
"2019-07","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","26.10","A","","","2"
"2019-10","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","27.20","A","","","2"
"2020-01","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","27.65","A","","","2"
"2020-10","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","24.80","A","","","2"
"2021-01","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","23.50","A","","","2"
"2021-04","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","25.15","A","","","2"
"2021-07","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","23.35","A","","","2"
"2021-10","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","23.70","A","","","2"
"2022-01","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","25.85","A","","","2"
"2022-04","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","25.05","A","","","2"
"2022-07","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","24.90","B","","","2"
"2022-10","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","26.30","A","","","2"
"2023-01","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","27.60","A","","","2"
"2023-04","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","27.75","A","","","2"
"2023-07","Alberta","2016A000248","Total, all occupations","60 to 89 days","Average offered hourly wage","Dollars","81","units","0","v105318447","10.1.27.5","27.10","A","","","2"
"2015-01","Alberta","2016A000248","Total, all occupations","90 days or more","Average offered hourly wage","Dollars","81","units","0","v105318450","10.1.28.5","","..","","","2"
"2015-04","Alberta","2016A000248","Total, all occupations","90 days or more","Average offered hourly wage","Dollars","81","units","0","v105318450","10.1.28.5","22.20","A","","","2"
"2015-07","Alberta","2016A000248","Total, all occupations","90 days or more","Average offered hourly wage","Dollars","81","units","0","v105318450","10.1.28.5","23.10","B","","","2"
"2015-10","Alberta","2016A000248","Total, all occupations","90 days or more","Average offered hourly wage","Dollars","81","units","0","v105318450","10.1.28.5","25.90","A","","","2"
"2016-01","Alberta","2016A000248","Total, all occupations","90 days or more","Average offered hourly wage","Dollars","81","units","0","v105318450","10.1.28.5","22.50","A","","","2"
"2016-04","Alberta","2016A000248","Total, all occupations","90 days or more","Average offered hourly wage","Dollars","81","units","0","v105318450","10.1.28.5","21.10","A","","","2"
"2016-07","Alberta","2016A000248","Total, all occupations","90 days or more","Average offered hourly wage","Dollars","81","units","0","v105318450","10.1.28.5","23.10","A","","","2"
"2016-10","Alberta","2016A000248","Total, all occupations","90 days or more","Average offered hourly wage","Dollars","81","units","0","v105318450","10.1.28.5","21.10","A","","","2"
"2017-01","Alberta","2016A000248","Total, all occupations","90 days or more","Average offered hourly wage","Dollars","81","units","0","v105318450","10.1.28.5","24.85","A","","","2"
